author_openalex_id,topic,period_a_from,period_a_to,period_b_from,period_b_to,pubs_a,pubs_b,cites_a,cites_b,label
A5000000797,Geochemistry and Geologic Mapping,1959,2014,2015,2026,1,0,20,0,Declining
A5000000797,Geological formations and processes,1959,2014,2015,2026,1,0,23,0,Declining
A5000000797,Geology and Paleoclimatology Research,1959,2014,2015,2026,1,0,23,0,Declining
A5000000797,Hydrocarbon exploration and reservoir analysis,1959,2014,2015,2026,1,0,20,0,Declining
A5000000797,Marine and environmental studies,1959,2014,2015,2026,1,0,23,0,Declining
A5000000797,Paleontology and Stratigraphy of Fossils,1959,2014,2015,2026,1,0,20,0,Declining
A5000034016,Enhanced Oil Recovery Techniques,1959,2014,2015,2026,0,1,0,5,Emerging
A5000034016,Hydraulic Fracturing and Reservoir Analysis,1959,2014,2015,2026,0,1,0,0,Emerging
A5000034016,Hydrocarbon exploration and reservoir analysis,1959,2014,2015,2026,0,2,0,5,Emerging
A5000034016,NMR spectroscopy and applications,1959,2014,2015,2026,0,1,0,0,Emerging
A5000034016,Petroleum Processing and Analysis,1959,2014,2015,2026,0,1,0,5,Emerging
A5000055073,Climate Change Communication and Perception,1959,2014,2015,2026,1,0,36,0,Declining
A5000055073,Environmental Education and Sustainability,1959,2014,2015,2026,1,0,36,0,Declining
A5000055073,Social Acceptance of Renewable Energy,1959,2014,2015,2026,1,0,36,0,Declining
A5000065926,Geological Studies and Exploration,1959,2014,2015,2026,1,0,28,0,Declining
A5000065926,Geology and Paleoclimatology Research,1959,2014,2015,2026,1,0,28,0,Declining
A5000104738,Geological formations and processes,1959,2014,2015,2026,0,1,0,17,Emerging
A5000104738,Hydraulic Fracturing and Reservoir Analysis,1959,2014,2015,2026,0,1,0,17,Emerging
A5000104738,Hydrocarbon exploration and reservoir analysis,1959,2014,2015,2026,0,1,0,17,Emerging
A5000157905,French Language Learning Methods,1959,2014,2015,2026,1,0,0,0,Declining
A5000157905,Geotechnical and Geomechanical Engineering,1959,2014,2015,2026,1,0,42,0,Declining
A5000157905,Linguistics and Discourse Analysis,1959,2014,2015,2026,1,0,0,0,Declining
A5000157905,Rock Mechanics and Modeling,1959,2014,2015,2026,1,0,42,0,Declining
A5000157905,Tunneling and Rock Mechanics,1959,2014,2015,2026,1,0,42,0,Declining
A5000172249,Geological and Geophysical Studies,1959,2014,2015,2026,1,0,57,0,Declining
A5000172249,Geological Studies and Exploration,1959,2014,2015,2026,1,0,57,0,Declining
A5000172249,Hydrocarbon exploration and reservoir analysis,1959,2014,2015,2026,1,0,57,0,Declining
A5000180362,Aeolian processes and effects,1959,2014,2015,2026,0,1,0,0,Emerging
A5000180362,Hydrology and Sediment Transport Processes,1959,2014,2015,2026,0,1,0,0,Emerging
A5000180362,Soil erosion and sediment transport,1959,2014,2015,2026,0,1,0,0,Emerging
A5000182708,Geochemistry and Elemental Analysis,1959,2014,2015,2026,0,1,0,16,Emerging
A5000182708,Geological and Geochemical Analysis,1959,2014,2015,2026,0,1,0,0,Emerging
