author_openalex_id,topic,year,pubs,cites
A5000000797,Geochemistry and Geologic Mapping,2010,1,20
A5000000797,Geological formations and processes,2008,1,23
A5000000797,Geology and Paleoclimatology Research,2008,1,23
A5000000797,Hydrocarbon exploration and reservoir analysis,2010,1,20
A5000000797,Marine and environmental studies,2008,1,23
A5000000797,Paleontology and Stratigraphy of Fossils,2010,1,20
A5000034016,Enhanced Oil Recovery Techniques,2021,1,5
A5000034016,Hydraulic Fracturing and Reservoir Analysis,2019,1,0
A5000034016,Hydrocarbon exploration and reservoir analysis,2019,1,0
A5000034016,Hydrocarbon exploration and reservoir analysis,2021,1,5
A5000034016,NMR spectroscopy and applications,2019,1,0
A5000034016,Petroleum Processing and Analysis,2021,1,5
A5000055073,Climate Change Communication and Perception,2013,1,36
A5000055073,Environmental Education and Sustainability,2013,1,36
A5000055073,Social Acceptance of Renewable Energy,2013,1,36
A5000065926,Geological Studies and Exploration,1989,1,28
A5000065926,Geology and Paleoclimatology Research,1989,1,28
A5000104738,Geological formations and processes,2017,1,17
A5000104738,Hydraulic Fracturing and Reservoir Analysis,2017,1,17
A5000104738,Hydrocarbon exploration and reservoir analysis,2017,1,17
A5000157905,French Language Learning Methods,1983,1,0
A5000157905,Geotechnical and Geomechanical Engineering,1983,1,42
A5000157905,Linguistics and Discourse Analysis,1983,1,0
A5000157905,Rock Mechanics and Modeling,1983,1,42
A5000157905,Tunneling and Rock Mechanics,1983,1,42
A5000172249,Geological and Geophysical Studies,1988,1,57
A5000172249,Geological Studies and Exploration,1988,1,57
A5000172249,Hydrocarbon exploration and reservoir analysis,1988,1,57
A5000180362,Aeolian processes and effects,2025,1,0
A5000180362,Hydrology and Sediment Transport Processes,2025,1,0
A5000180362,Soil erosion and sediment transport,2025,1,0
A5000182708,Geochemistry and Elemental Analysis,2020,1,16
A5000182708,Geological and Geochemical Analysis,2018,1,0
A5000182708,Geological Studies and Exploration,2018,1,0
A5000182708,Hydrocarbon exploration and reservoir analysis,2017,1,0
A5000182708,Hydrocarbon exploration and reservoir analysis,2019,1,0
A5000182708,Hydrocarbon exploration and reservoir analysis,2020,1,16
A5000182708,Paleontology and Stratigraphy of Fossils,2018,1,0
A5000182708,Paleontology and Stratigraphy of Fossils,2020,1,16
A5000230700,Enhanced Oil Recovery Techniques,2021,1,23
A5000230700,Hydraulic Fracturing and Reservoir Analysis,2021,1,23
A5000230700,Hydrocarbon exploration and reservoir analysis,2021,1,23
A5000339030,Geology and Paleoclimatology Research,2022,1,20
A5000339030,Methane Hydrates and Related Phenomena,2022,1,20
A5000339030,Paleontology and Stratigraphy of Fossils,2022,1,20
A5000343935,earthquake and tectonic studies,2015,2,42
A5000343935,earthquake and tectonic studies,2016,1,35
A5000343935,earthquake and tectonic studies,2017,1,17
A5000343935,Geochemistry and Geologic Mapping,2016,1,35
A5000343935,Geological and Geochemical Analysis,2015,1,41
A5000343935,Geological and Geochemical Analysis,2016,2,105
A5000343935,Geological and Geochemical Analysis,2017,1,17
A5000343935,Geological and Geophysical Studies,2015,2,42
A5000343935,Geological and Geophysical Studies,2016,1,70
A5000343935,Geotechnical and Geomechanical Engineering,2015,1,1
A5000343935,High-pressure geophysics and materials,2016,1,70
A5000343935,High-pressure geophysics and materials,2017,1,17
A5000353919,Geological and Geophysical Studies Worldwide,2019,1,2
A5000353919,Geological and Tectonic Studies in Latin America,2019,1,2
A5000364306,Geochemistry and Geologic Mapping,2016,1,35
A5000364306,Geological formations and processes,2016,1,35
A5000364306,Hydrocarbon exploration and reservoir analysis,2016,1,35
A5000375962,Geological and Geophysical Studies,2015,2,36
A5000375962,Geological formations and processes,2015,2,36
A5000375962,Geological formations and processes,2024,1,5
A5000375962,Geology and Paleoclimatology Research,2024,1,5
A5000375962,Karst Systems and Hydrogeology,2024,1,5
A5000375962,Paleontology and Stratigraphy of Fossils,2015,2,36
A5000405726,Geological and Geophysical Studies,2010,1,0
A5000405726,Paleontology and Stratigraphy of Fossils,2010,1,0
A5000405726,Plant Diversity and Evolution,2010,1,0
A5000472250,Atmospheric and Environmental Gas Dynamics,2023,1,0
A5000472250,Coal Properties and Utilization,2023,1,0
A5000472250,Hydrocarbon exploration and reservoir analysis,2023,1,0
A5000536008,Geological and Geochemical Analysis,2011,1,61
A5000536008,Geological formations and processes,2011,1,61
A5000536008,Paleontology and Stratigraphy of Fossils,2011,1,61
A5000537987,Analytical Chemistry and Sensors,2023,1,18
A5000537987,Membrane Separation Technologies,2023,2,67
A5000537987,Surface Modification and Superhydrophobicity,2023,1,49
A5000537987,Water Quality Monitoring Technologies,2023,2,67
A5000541549,Evolution and Paleontology Studies,2005,1,0
A5000541549,Geochemistry and Elemental Analysis,2007,1,22
A5000541549,Geochemistry and Geologic Mapping,2000,2,15
A5000541549,Geological and Geophysical Studies,2000,2,15
A5000541549,Geological formations and processes,2017,1,35
A5000541549,Geological Formations and Processes Exploration,2007,1,44
