topic,year,pubs,cites
3D Printing in Biomedical Research,2022,1,1
3D Shape Modeling and Analysis,2024,1,0
3D Surveying and Cultural Heritage,1995,1,0
3D Surveying and Cultural Heritage,2015,1,0
3D Surveying and Cultural Heritage,2023,4,39
3D Surveying and Cultural Heritage,2024,3,13
3D Surveying and Cultural Heritage,2026,1,0
Academic and Historical Perspectives in Psychology,2006,1,0
Academic and Historical Perspectives in Psychology,2015,1,0
Acoustic Wave Resonator Technologies,2018,1,0
Adsorption and biosorption for pollutant removal,2024,1,4
Advanced Algorithms and Applications,2010,1,1
Advanced battery technologies research,2025,1,5
Advanced Battery Technologies Research,2025,1,14
Advanced ceramic materials synthesis,2026,1,0
Advanced Computational Techniques and Applications,2011,1,9
Advanced Data Processing Techniques,2024,2,1
Advanced Drug Delivery Systems,2021,1,131
Advanced Fiber Optic Sensors,2019,4,7
Advanced Fiber Optic Sensors,2023,1,6
Advanced Fiber Optic Sensors,2026,1,0
Advanced Image Fusion Techniques,2017,1,0
Advanced Image Processing Techniques,2022,1,8
Advanced Image Processing Techniques,2023,1,12
Advanced Manufacturing and Logistics Optimization,1986,2,75
Advanced Mathematical Modeling in Engineering,2016,1,2
Advanced Mathematical Modeling in Engineering,2021,1,15
Advanced Mathematical Modeling in Engineering,2023,1,4
Advanced Mathematical Modeling in Engineering,2025,1,0
Advanced Mathematical Modeling in Engineering,2026,2,0
Advanced Nanomaterials in Catalysis,2021,1,25
Advanced Nanomaterials in Catalysis,2025,1,3
Advanced Neural Network Applications,2022,1,29
Advanced Neuroimaging Techniques and Applications,2020,1,39
Advanced NMR Techniques and Applications,2020,1,39
Advanced Photocatalysis Techniques,2024,2,15
Advanced Photocatalysis Techniques,2025,1,3
Advanced Text Analysis Techniques,2010,1,1
Advanced Theoretical and Applied Studies in Material Sciences and Geometry,2023,1,0
Advanced Thermoelectric Materials and Devices,2024,1,4
Advanced X-ray Imaging Techniques,2015,2,0
Advancements in Battery Materials,2025,2,19
Advancements in Transdermal Drug Delivery,2021,1,131
Adventure Sports and Sensation Seeking,2001,1,131
Aeolian processes and effects,1998,1,0
Aeolian processes and effects,2002,1,1
Aeolian processes and effects,2003,1,6
Aeolian processes and effects,2004,1,66
Aeolian processes and effects,2009,1,58
Aeolian processes and effects,2010,3,47
Aeolian processes and effects,2011,1,46
Aeolian processes and effects,2013,1,74
Aeolian processes and effects,2014,2,3
Aeolian processes and effects,2015,3,192
Aeolian processes and effects,2016,2,11
Aeolian processes and effects,2017,2,40
Aeolian processes and effects,2018,1,9
